bus;carrier;available_area_km2;availability_share;region_name
84;wind_onshore;0.0;0.0;Fanø
84;wind_offshore;8185.51;0.7069027756187714;Fanø
84;pv;0.0;0.0;Fanø
85;wind_onshore;2.34;0.01717333004628323;Fredericia
85;pv;82.02;0.6019472352120302;Fredericia
86;wind_onshore;87.87;0.10664863014602508;Haderslev
86;pv;611.62;0.7423288399898925;Haderslev
87;wind_onshore;13.07;0.0606434155383922;Kerteminde
87;pv;156.42000000000002;0.7257722309499088;Kerteminde
88;wind_onshore;49.09;0.08088506079005955;Kolding
88;pv;457.12;0.7531916681269509;Kolding
89;wind_onshore;22.32;0.07640839772827705;Langeland
89;wind_offshore;71.8;0.06343933061787081;Langeland
89;pv;183.21;0.6271855980196075;Langeland
90;wind_onshore;9.96;0.03317615959056335;Middelfart
90;pv;200.42000000000002;0.6675869382671393;Middelfart
91;wind_onshore;18.19;0.04023205916349072;Nordfyns
91;pv;324.77;0.7183158798530446;Nordfyns
92;wind_onshore;12.67;0.04550010377024981;Nyborg
92;pv;220.34;0.7912780477298218;Nyborg
93;wind_onshore;5.8;0.018969227337850388;Odense
93;pv;234.20000000000002;0.7659643176766485;Odense
94;wind_onshore;17.79;0.03593170267803932;Sønderborg
94;pv;343.15000000000003;0.6930839670584146;Sønderborg
95;wind_onshore;11.11;0.02653282434679998;Svendborg
95;pv;237.37;0.5668853749054826;Svendborg
96;wind_onshore;150.84;0.12831014232204083;Tønder
96;wind_offshore;0.17;0.0006110931377835293;Tønder
96;pv;811.57;0.6903517780714578;Tønder
97;wind_offshore;398.13;0.10361411919019994;Varde
97;wind_onshore;165.99;0.13450886475767954;Varde
97;pv;731.58;0.5928308649883921;Varde
98;wind_onshore;101.92;0.12512311007817653;Vejen
98;pv;626.97;0.7697060079053605;Vejen
99;wind_onshore;126.59;0.11923361463647039;Vejle
99;pv;694.96;0.6545745542915038;Vejle
